[2025-06-01T16:37:08.669+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: scraping_autopia_dag.scrapear_datos_autopia manual__2025-06-01T16:37:04.718659+00:00 [queued]>
[2025-06-01T16:37:08.722+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: scraping_autopia_dag.scrapear_datos_autopia manual__2025-06-01T16:37:04.718659+00:00 [queued]>
[2025-06-01T16:37:08.724+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-06-01T16:40:01.570+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:03.171+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:04.775+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:06.388+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:07.994+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:09.599+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:11.155+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:12.728+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:14.297+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:15.934+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:17.547+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:19.160+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:20.788+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:40:22.366+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
